Site ID,Energy Consumption (kWh),Date
CCC1150,353.91,2020-06-25
CCC1150,280.72,2020-06-26
CCC1150,85.62,2020-06-27
CCC1150,66.54,2020-06-28
CCC1150,263.03,2020-06-29
CCC1150,327.16,2020-06-30
CCC1150,330.44,2020-07-01
CCC1150,297.59,2020-07-02
CCC1150,99.37,2020-07-03
CCC1150,76.51,2020-07-04
CCC1150,85.04,2020-07-05
CCC1150,326.75,2020-07-06
CCC1150,287.25,2020-07-07
CCC1150,323.1,2020-07-08
CCC1150,280.25,2020-07-09
CCC1150,264.66,2020-07-10
CCC1150,96.4,2020-07-11
CCC1150,103.85,2020-07-12
CCC1150,287.6,2020-07-13
CCC1150,309.55,2020-07-14
CCC1150,308.67,2020-07-15
CCC1150,325.19,2020-07-16
CCC1150,275.92,2020-07-17
CCC1150,80.22,2020-07-18
CCC1150,84.92,2020-07-19
CCC1150,302.2,2020-07-20
CCC1150,301.8,2020-07-21
CCC1150,320.49,2020-07-22
CCC1150,299.92,2020-07-23
CCC1150,320.81,2020-07-24
CCC1150,82.14,2020-07-25
CCC1150,89.3,2020-07-26
CCC1150,300.6,2020-07-27
CCC1150,330.59,2020-07-28
CCC1150,303.38,2020-07-29
CCC1150,338.77,2020-07-30
CCC1150,347.48,2020-07-31
CCC1150,88.16,2020-08-01
CCC1150,95.5,2020-08-02
CCC1150,324.35,2020-08-03
CCC1150,332.64,2020-08-04
CCC1150,290.15,2020-08-05
CCC1150,308.66,2020-08-06
CCC1150,314.03,2020-08-07
CCC1150,84.83,2020-08-08
CCC1150,94.1,2020-08-09
CCC1150,294.26,2020-08-10
CCC1150,313.67,2020-08-11
CCC1150,316.23,2020-08-12
CCC1150,273.08,2020-08-13
CCC1150,317.97,2020-08-14
CCC1150,121.22,2020-08-15
CCC1150,130.94,2020-08-16
CCC1150,282.65,2020-08-17
CCC1150,314.26,2020-08-18
CCC1150,356.18,2020-08-19
CCC1150,353.73,2020-08-20
CCC1150,312.77,2020-08-21
CCC1150,88.06,2020-08-22
CCC1150,100.29,2020-08-23
CCC1150,360.32,2020-08-24
CCC1150,415.64,2020-08-25
CCC1150,418.44,2020-08-26
CCC1150,323.73,2020-08-27
CCC1150,256.88,2020-08-28
CCC1150,97.63,2020-08-29
CCC1150,93.88,2020-08-30
CCC1150,294.51,2020-08-31
CCC1150,253.6,2020-09-01
CCC1150,316.09,2020-09-02
CCC1150,301.2,2020-09-03
CCC1150,288.45,2020-09-04
CCC1150,102.9,2020-09-05
CCC1150,127.1,2020-09-06
CCC1150,155.37,2020-09-07
CCC1150,317.08,2020-09-08
CCC1150,321.43,2020-09-09
CCC1150,298.39,2020-09-10
CCC1150,242.62,2020-09-11
